ReceptionTime,ts,tsys0,tsys1,tsys2,tsys3,tsys4,tsys5,tsys6,tsys7,tsys8,tsys9,tsys10,tsys11,tsys12,tsys13,tsys14,tsys15
1518042610.47757,1518042610.15734,20.409683,20.40545,20.479134,20.383053,20.443764,20.516285,20.441792,20.276317,20.417488,20.460355,20.305661,20.353643,20.488922,20.528582,20.407773,20.417427
1518042611.80384,1518042611.47961,20.412856,20.406193,20.481029,20.382851,20.441054,20.517232,20.440653,20.275843,20.416812,20.463126,20.307216,20.356949,20.489395,20.529595,20.409535,20.411482
1518042613.12141,1518042612.80312,20.414342,20.403762,20.481368,20.385011,20.443019,20.518653,20.439716,20.273947,20.41803,20.461977,20.306607,20.358501,20.489597,20.530202,20.408451,20.412293
1518042614.4326,1518042614.11954,20.411371,20.404032,20.479811,20.384269,20.442138,20.515946,20.442662,20.277062,20.417827,20.46218,20.305458,20.356409,20.48791,20.529459,20.407096,20.416211
1518042615.74939,1518042615.43146,20.411641,20.404438,20.483467,20.381365,20.442883,20.51378,20.441992,20.275233,20.418774,20.463802,20.305796,20.35452,20.49115,20.53081,20.407841,20.413239
1518042617.06079,1518042616.74432,20.411439,20.40545,20.480691,20.382581,20.443899,20.515472,20.441055,20.275843,20.42121,20.46441,20.309582,20.358028,20.488315,20.532769,20.409738,20.417562
1518042618.37949,1518042618.05961,20.412992,20.404032,20.481571,20.384471,20.44268,20.513171,20.442461,20.27801,20.416676,20.461369,20.306066,20.358028,20.490205,20.528649,20.414412,20.413644
1518042619.69741,1518042619.37789,20.40975,20.406531,20.4813,20.381298,20.441731,20.514322,20.442193,20.275437,20.419653,20.461909,20.305323,20.357084,20.485615,20.528717,20.409264,20.417765
1518042621.02908,1518042620.69743,20.413667,20.405653,20.481029,20.381838,20.442883,20.512427,20.441256,20.273066,20.418503,20.462517,20.306202,20.356814,20.491555,20.529257,20.409264,20.413712
1518042622.34085,1518042622.02229,20.413127,20.406868,20.482655,20.386091,20.442409,20.51818,20.441658,20.278687,20.417624,20.461098,20.304579,20.358838,20.492432,20.527636,20.411499,20.414117
