######################################################################
#
# LoggerIdentifier    : 0000000C
# Comment             : 
# PC Time             : 24 January 2018 , 21:31:27
# Logger Time         : 24 January 2018 , 21:31:37
# StartBatteryVoltage :      2817 mV
# EndBatteryVoltage   :      2777 mV
# TotalSampleCount    :    300668
# ResistanceOffset    :     11910.90559
# ResistanceScale     :     90895.96966
# TemperatureOffset   :         0.0010743547
# TemperatureLinear   :         0.0002113377
# TemperatureCubic    :         0.0000000922
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2017 12 16 03 54 00     7828    16115.631       38.812
2017 12 16 03 56 00     7828    16115.631       38.812
2017 12 16 03 58 00     7829    16116.592       38.810
2017 12 16 04 00 00     7829    16116.592       38.810
2017 12 16 04 02 00     7829    16116.592       38.810
2017 12 16 04 04 00     7829    16116.592       38.810
2017 12 16 04 06 00     7829    16116.592       38.810
2017 12 16 04 08 00     7830    16117.554       38.809
2017 12 16 04 10 00     7829    16116.592       38.810
2017 12 16 04 12 00     7830    16117.554       38.809
2017 12 16 04 14 00     7831    16118.515       38.808
2017 12 16 04 16 00     7831    16118.515       38.808
2017 12 16 04 18 00     7832    16119.476       38.806
2017 12 16 04 20 00     7831    16118.515       38.808
2017 12 16 04 22 00     7831    16118.515       38.808
2017 12 16 04 24 00     7831    16118.515       38.808
2017 12 16 04 26 00     7832    16119.476       38.806
2017 12 16 04 28 00     7832    16119.476       38.806
2017 12 16 04 30 00     7832    16119.476       38.806
2017 12 16 04 32 00     7833    16120.437       38.805
2017 12 16 04 34 00     7833    16120.437       38.805
2017 12 16 04 36 00     7833    16120.437       38.805
2017 12 16 04 38 00     7833    16120.437       38.805
2017 12 16 04 40 00     7834    16121.399       38.804
2017 12 16 04 42 00     7834    16121.399       38.804
2017 12 16 04 44 00     7834    16121.399       38.804
2017 12 16 04 46 00     7835    16122.360       38.802
2017 12 16 04 48 00     7835    16122.360       38.802
2017 12 16 04 50 00     7835    16122.360       38.802
2017 12 16 04 52 00     7835    16122.360       38.802
2017 12 16 04 54 00     7835    16122.360       38.802
2017 12 16 04 56 00     7836    16123.321       38.801
2017 12 16 04 58 00     7835    16122.360       38.802
2017 12 16 05 00 00     7835    16122.360       38.802
2017 12 16 05 02 00     7835    16122.360       38.802
2017 12 16 05 04 00     7836    16123.321       38.801
2017 12 16 05 06 00     7836    16123.321       38.801
2017 12 16 05 08 00     7836    16123.321       38.801
